date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20170303,57953.5,0,41508,8403.5,11100.5,7491395.5,560314
20170304,0,0,0,0,0,0,0
20170305,0,0,0,0,0,0,0
20170306,54641,0,41080.5,7743.5,10943,6958365,504364.5
20170307,52240.5,0,41233.5,7837.5,10583.5,6331653,537613
20170308,65686,0,41386.5,8184.5,10454,7061946,564201
20170309,61805.5,0,41539.5,8306.5,10796,7012672.5,577518.5
20170310,64601.5,0,41629.5,8326,11047.5,7214116.5,554057.5
20170311,0,0,0,0,0,0,0
20170312,0,0,0,0,0,0,0
20170313,61746,0,41589,9001.5,11841,7613285.5,610761.5
20170314,46975.5,0,41638.5,6648,8980,6504763.5,560239
20170315,56429.5,0,41800.5,8102.5,10426.5,7140609.5,571942
20170316,62160,0,41904,7328.5,9465.5,7664595,686449.5
20170317,51756.5,0,41814,7147,9557,8287874.5,764710
20170318,0,0,0,0,0,0,0
20170319,0,0,0,0,0,0,0
20170320,44116.5,0,41904,4392.5,6906.5,7462362,683682
20170321,53348.5,0,41778,4615,8078,7141765.5,711835.5
20170322,62603,0,41769,10121,13099.5,8038451,690094.5
20170323,58583.5,0,42210,8956.5,13128.5,7989809,658283
20170324,62421,0,42574.5,9772,13518.5,7956624.5,613295
20170325,0,0,0,0,0,0,0
20170326,0,0,0,0,0,0,0
20170327,85824.5,0,42916.5,11256.5,14704,9524423.5,679706.5
20170328,60709.5,0,43020,8102,10498.5,7056419,555817.5
20170329,63866.5,0,43069.5,6836.5,9257,6780996,592278.5
20170330,78512,0,43078.5,6965.5,9365.5,7479829.5,591382
20170331,86170,0,42520.5,8912,11906.5,7802939,582870
20170401,0,0,0,0,0,0,0
20170402,0,0,0,0,0,0,0
20170403,54327,0,42412.5,5731,8379,5790227.5,517334
20170404,0,0,0,0,0,0,0
20170405,107418.5,0,42241.5,10947.5,13800,9379788.5,832831.5
20170406,98256.5,0,41881.5,10781,13786.5,8253526.5,606880
20170407,118345,0,41674.5,14820.5,18635,11142245,685377.5
20170408,0,0,0,0,0,0,0
20170409,0,0,0,0,0,0,0
20170410,92023.5,0,41530.5,10723,13934.5,7395477.5,537736.5
20170411,111639.5,0,41571,13931.5,17572.5,9613320,614928.5
20170412,109978.5,0,41670,12682,15756,7883240.5,536597
20170413,126814,0,41724,11008,14326.5,8060957,510485.5
20170414,0,0,0,0,0,0,0
20170415,0,0,0,0,0,0,0
20170416,0,0,0,0,0,0,0
20170417,0,0,0,0,0,0,0
20170418,103885.5,0,41854.5,10018.5,12863.5,7462549.5,573959
20170419,85962,0,41796,9486,12483.5,7754355.5,604557
20170420,84496,0,41778,11578,14662.5,7488245,534120.5
20170421,69933.5,0,42030,10590.5,13781.5,6820069,496898.5
20170422,0,0,0,0,0,0,0
20170423,0,0,0,0,0,0,0
20170424,68579,0,42025.5,10290,13161.5,7992714.5,495840.5
20170425,56307.5,0,42129,8343,11159,6773479.5,567319
20170426,39384.5,0,42223.5,7218.5,9612.5,6480994,590444
20170427,42990.5,0,42192,7813,10154,6600451.5,582302.5
20170428,45907.5,0,41985,5002,7278.5,6203082.5,514192.5
20170429,0,0,0,0,0,0,0
20170430,0,0,0,0,0,0,0
20170501,0,0,0,0,0,0,0
20170502,48270.5,0,41917.5,4409,6730,6658346,594118.5
20170503,0,0,0,0,0,0,0
20170504,44601,0,42102,4781.5,7099.5,6637852.5,613805.5
